,Community_Name,Agg_Ass,TOT_POP,EMP,FOR_BORN,COMMperc,INSTperc,VACperc,LING_ISO,TOT_COMM,WORK_AT_HOME,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,White,Hisp,Black,Asian,Other,EMP_rate
139,Gage Park,169,40873,16980,16294,0.045310849,0.068439113,0.015087651,13973,16053,283,8714,3411,3086,819,4811,31079,2743,161,399,0.42
140,Clearing,40,25891,11986,4652,0.027611632,0.012099101999999999,0.009517199,3259,11620,113,8505,884,1692,418,17047,4688,137,152,307,0.46
141,West Lawn,62,33108,14241,11409,0.08952308699999999,0.055976738,0.020547618,8877,13401,168,8882,2034,2019,445,12540,15179,760,272,484,0.43
142,Chicago Lawn,485,53098,20135,12800,0.04675933400000001,0.028974019,0.023442663,10104,18991,414,11732,2513,4090,577,6190,21534,32240,393,1055,0.38
143,West Englewood,1224,29929,8386,829,0.025515227999999997,0.047332367,0.135948635,751,7946,245,4508,626,2421,346,164,459,44271,29,359,0.28
144,Englewood,1188,25075,6251,582,0.019448062,0.08642525699999999,0.21518815800000002,337,5759,299,2728,291,2503,114,178,347,39352,27,318,0.25
145,Greater Grand Crossing,762,31766,10824,446,0.036001256,0.11250483,0.061569457,384,9977,447,5207,798,3674,226,146,276,37779,26,392,0.34
146,Ashburn,131,43792,19383,7216,0.04253106,0.058748866,0.013211711000000001,4598,18354,409,13110,2296,2777,44,14546,6674,17045,408,911,0.44
147,Auburn Gresham,859,46278,16330,839,0.037528885,0.045228179,0.05059591099999999,191,15311,697,9475,1136,4388,200,237,347,54862,45,437,0.35
148,Beverly,55,20822,10089,669,0.032415404,0.020944956,0.00517878,179,9425,458,6698,575,1897,188,13814,643,7006,121,408,0.48
149,Washington Heights,275,27453,10943,445,0.030388966,0.046209574,0.028291755,151,10398,357,6513,1170,2439,159,193,231,29108,9,302,0.4
150,Mount Greenwood,35,19277,9620,780,0.021176028,0.302072543,0.001684261,307,9242,186,7769,565,664,215,17127,723,672,61,237,0.5
151,Morgan Park,222,22394,9005,628,0.050611643,0.086804676,0.027012585,258,8508,280,6406,477,1386,190,7510,533,16816,83,284,0.4
152,O'Hare,28,12377,6387,6360,0.016379907,0.006558517,0.016387306,3226,6066,137,4611,341,972,45,9486,761,249,864,305,0.52
153,Edgewater,237,55965,32474,15364,0.069528336,0.055594915999999994,0.007403945,8363,29968,2068,11565,1545,13696,2438,29782,12176,10564,7172,2504,0.58
154,Rogers Park,414,55062,29897,14829,0.051667977000000004,0.06826966799999999,0.0038319770000000003,8712,27807,1642,10392,1460,12738,2690,20170,17639,18767,4063,2845,0.54
155,West Ridge,168,76215,34858,32603,0.061967847,0.074809337,0.005105979,19659,33060,1084,19904,3370,6268,2857,36403,11353,4962,16347,4134,0.46
156,Uptown,387,57973,34325,14913,0.046728924000000005,0.163844779,0.005521509,9292,31736,2204,10771,1523,15636,3043,26784,12674,13415,8206,2472,0.59
